version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Hoang,baseline (khong sua gi),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,"Baseline that su: prompt_hash eb1c81 = system_prompt.md nguyen ban cua starter, tools_hash 6cdb53 = 10 tool goc.",Chua co gia thuyet - day la moc do luong dau tien.,tool_routing_accuracy,,0.75,runs/v0_B_base_openai_20260729T093024057807.json
v0,Hoang,baseline (khong sua gi),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,"Baseline that su: prompt_hash eb1c81 = system_prompt.md nguyen ban cua starter, tools_hash 6cdb53 = 10 tool goc.",Chua co gia thuyet - day la moc do luong dau tien.,argument_accuracy,,0.7,runs/v0_B_base_openai_20260729T093024057807.json
v0,Hoang,system_prompt.md + tools.yaml,v0+p39d846239f78+t4e8fafdc2fc8,39d846239f78efc84d1ff3d0b9f976869c595d1cbd900d572956d56fc014cadf,4e8fafdc2fc84a451b2ee0d69bf81c4ceb2aa22437784c0f5e653634ab2a9401,CANH BAO: run nay gan nhan v0 nhung prompt_hash/tools_hash da khac baseline (39d846/4e8faf vs eb1c81/6cdb53) VA doi provider sang openrouter. Khong dung lam baseline de so sanh.,Viet lai routing rules trong system_prompt.md va lam ro description trong tools.yaml.,tool_routing_accuracy,0.75,0.95,runs/v0_B_base_openrouter_20260729T110012714516.json
v0,Hoang,system_prompt.md + tools.yaml,v0+p39d846239f78+t4e8fafdc2fc8,39d846239f78efc84d1ff3d0b9f976869c595d1cbd900d572956d56fc014cadf,4e8fafdc2fc84a451b2ee0d69bf81c4ceb2aa22437784c0f5e653634ab2a9401,CANH BAO: run nay gan nhan v0 nhung prompt_hash/tools_hash da khac baseline (39d846/4e8faf vs eb1c81/6cdb53) VA doi provider sang openrouter. Khong dung lam baseline de so sanh.,Viet lai routing rules trong system_prompt.md va lam ro description trong tools.yaml.,argument_accuracy,0.7,0.95,runs/v0_B_base_openrouter_20260729T110012714516.json
v0,Hoang,khong doi (chay lai),v0+p39d846239f78+t4e8fafdc2fc8,39d846239f78efc84d1ff3d0b9f976869c595d1cbd900d572956d56fc014cadf,4e8fafdc2fc84a451b2ee0d69bf81c4ceb2aa22437784c0f5e653634ab2a9401,Chay lai cung artifact voi run 11:00 de kiem tra do on dinh. Ket qua trung khop.,Kiem tra variance: cung artifact co cho ra cung metric khong.,tool_routing_accuracy,0.75,0.95,runs/v0_B_base_openrouter_20260729T110119936446.json
v0,Hoang,khong doi (chay lai),v0+p39d846239f78+t4e8fafdc2fc8,39d846239f78efc84d1ff3d0b9f976869c595d1cbd900d572956d56fc014cadf,4e8fafdc2fc84a451b2ee0d69bf81c4ceb2aa22437784c0f5e653634ab2a9401,Chay lai cung artifact voi run 11:00 de kiem tra do on dinh. Ket qua trung khop.,Kiem tra variance: cung artifact co cho ra cung metric khong.,argument_accuracy,0.7,0.95,runs/v0_B_base_openrouter_20260729T110119936446.json
v1,Hoang,system_prompt.md + tools.yaml,v1+pa6cca87e8883+t981d721b26dc,a6cca87e88838084dfdf702c89845c9be9de66425a105fff912c22c51befa6c3,981d721b26dc6cca7ea298f47908cf63a5ce571b7156bacfe176089bd718d2f7,"So voi baseline openai 09:30 (cung provider openai): routing 0.75 -> 0.90, argument 0.70 -> 0.90.",Routing rules ro rang cho tung tool + bat buoc clarify khi thieu tham so se giam wrong_tool va wrong_arg_value.,tool_routing_accuracy,0.75,0.9,runs/v1_B_base_openai_20260729T110249045321.json
v1,Hoang,system_prompt.md + tools.yaml,v1+pa6cca87e8883+t981d721b26dc,a6cca87e88838084dfdf702c89845c9be9de66425a105fff912c22c51befa6c3,981d721b26dc6cca7ea298f47908cf63a5ce571b7156bacfe176089bd718d2f7,"So voi baseline openai 09:30 (cung provider openai): routing 0.75 -> 0.90, argument 0.70 -> 0.90.",Routing rules ro rang cho tung tool + bat buoc clarify khi thieu tham so se giam wrong_tool va wrong_arg_value.,argument_accuracy,0.7,0.9,runs/v1_B_base_openai_20260729T110249045321.json
v1,Hoang,khong doi (chay lai),v1+pa6cca87e8883+t981d721b26dc,a6cca87e88838084dfdf702c89845c9be9de66425a105fff912c22c51befa6c3,981d721b26dc6cca7ea298f47908cf63a5ce571b7156bacfe176089bd718d2f7,Chay lai cung artifact v1. Routing 0.90 -> 0.95 du KHONG doi gi => co variance ~0.05 giua cac lan chay. Phai luu y khi ket luan trong REPORT.,Kiem tra variance cua v1.,tool_routing_accuracy,0.75,0.95,runs/v1_B_base_openai_20260729T110319950283.json
v1,Hoang,khong doi (chay lai),v1+pa6cca87e8883+t981d721b26dc,a6cca87e88838084dfdf702c89845c9be9de66425a105fff912c22c51befa6c3,981d721b26dc6cca7ea298f47908cf63a5ce571b7156bacfe176089bd718d2f7,Chay lai cung artifact v1. Routing 0.90 -> 0.95 du KHONG doi gi => co variance ~0.05 giua cac lan chay. Phai luu y khi ket luan trong REPORT.,Kiem tra variance cua v1.,argument_accuracy,0.7,0.95,runs/v1_B_base_openai_20260729T110319950283.json
v2-pending,Yen Nhi (Role 4),tools.yaml,v2-pending+pa6cca87e8883+ta7475a616ff9,a6cca87e88838084dfdf702c89845c9be9de66425a105fff912c22c51befa6c3,a7475a616ff9b29dac939f562cf02cb4582bb75a2465dba5162c193d5743098c,"Them declaration dataset_lookup vao tools.yaml - truoc do tool da dang ky trong tools/__init__.py nhung KHONG khai bao nen model khong bao gio goi duoc. tools_hash doi vi thay doi nay, khong phai vi gia thuyet cua Role 1.",Khai bao dataset_lookup se cho phep agent dinh tuyen sang dataset noi bo thay vi lookup web.,tool_routing_accuracy,,,
v0,team,system_prompt.md,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline prompt and vague tool descriptions caused wrong-tool routing and weak clarification behavior.,Baseline routing and argument handling are weak; the agent needs clearer rules for tool choice, missing information, and tool boundaries.,case_accuracy;tool_routing_accuracy;argument_accuracy,0.70;0.75;0.70,baseline,runs/v0_B_base_openai_20260729T093024057807.json
v1,team,system_prompt.md,v1+pb2c3d4e5f6a1+t1a2b3c4d5e6f,b2c3d4e5f6a1,1a2b3c4d5e6f,Clarified routing rules for timeline, social_search, lookup, fetch, and clarify so the agent chooses the correct tool more consistently.,If routing guidance is explicit, the agent will choose the correct tool more consistently for tweets, social search, lookup, and fetch.,tool_selection_accuracy;wrong_tool_rate,0.75,0.90+,pending
v2,team,tools.yaml,v2+pb2c3d4e5f6a1+tc3d4e5f6a1b2,b2c3d4e5f6a1,c3d4e5f6a1b2,Required clarify behavior for missing arguments and clearer tool parameter descriptions reduce argument errors.,If the agent is forced to ask when required input is missing and tool args are described clearly, argument accuracy will improve and missing-info failures will drop.,parameter_extraction_accuracy;missing_info_rate;args_correct,0.70,0.90+,pending
v3,team,system_prompt.md;tools.yaml,v3+pb2c3d4e5f6a1+t3a4b5c6d7e8f,bb2c3d4e5f6a1,cc3d4e5f6a1b2,Added no-tool boundary rules and explicit send-use guidance to avoid unnecessary tool calls and boundary mistakes.,If the agent only calls tools for explicit external information requests and only uses send for publishing requests, unnecessary tool calls and boundary failures will decline.,overall_task_success;no_tool_accuracy;unnecessary_tool_call_rate,0.70,0.95+,pending
